id,created_at (EDT),event_type,event_action,actor,repo
4092102922,2016-06-02T04:48:05Z,IssueCommentEvent,created,bharathi3p,mozillascience/global-sprint-2016
4092053164,2016-06-02T04:22:43Z,IssueCommentEvent,created,stephwright,mozillascience/global-sprint-2016
4091853301,2016-06-02T02:47:15Z,IssueCommentEvent,created,andreabedini,mozillascience/global-sprint-2016
4091811239,2016-06-02T02:29:06Z,IssuesEvent,closed,acabunoc,mozillascience/global-sprint-2016
4091438079,2016-06-01T23:59:15Z,PushEvent,,ibab,mozillascience/global-sprint-2016
4091424121,2016-06-01T23:54:24Z,IssueCommentEvent,created,tanah,mozillascience/global-sprint-2016
4091408780,2016-06-01T23:49:15Z,CommitCommentEvent,,acabunoc,mozillascience/global-sprint-2016
4091396497,2016-06-01T23:45:00Z,IssueCommentEvent,created,vijayshankarv,mozillascience/global-sprint-2016
4091226196,2016-06-01T22:52:34Z,IssueCommentEvent,created,amelgh,mozillascience/global-sprint-2016
4091121647,2016-06-01T22:24:06Z,PushEvent,,mandar2812,mozillascience/global-sprint-2016
4091106321,2016-06-01T22:20:04Z,PushEvent,,mandar2812,mozillascience/global-sprint-2016
4091006768,2016-06-01T21:56:17Z,CommitCommentEvent,,acabunoc,mozillascience/global-sprint-2016
4090891702,2016-06-01T21:30:49Z,PushEvent,,jcolomb,mozillascience/global-sprint-2016
4090848522,2016-06-01T21:21:29Z,IssuesEvent,closed,acabunoc,mozillascience/global-sprint-2016
4090825831,2016-06-01T21:16:43Z,ForkEvent,,jcolomb,mozillascience/global-sprint-2016
4090822520,2016-06-01T21:16:00Z,MemberEvent,added,acabunoc,mozillascience/global-sprint-2016
4090811156,2016-06-01T21:13:42Z,IssueCommentEvent,created,acabunoc,mozillascience/global-sprint-2016
4090699439,2016-06-01T20:50:48Z,MemberEvent,added,acabunoc,mozillascience/global-sprint-2016
4090693921,2016-06-01T20:49:40Z,MemberEvent,added,acabunoc,mozillascience/global-sprint-2016
4090682936,2016-06-01T20:47:25Z,IssueCommentEvent,created,blahah,mozillascience/global-sprint-2016
4090666140,2016-06-01T20:44:03Z,WatchEvent,started,neurosaurus,mozillascience/global-sprint-2016
